Index,Meta-Llama-3.1-8B-Instruct,Meta-Llama-3.1-70B-Instruct,Qwen2-72B-Instruct,tulu-2-dpo-70b,Meta-Llama-3.1-8B-Instruct_sum,Meta-Llama-3.1-8B-Instruct_average,Meta-Llama-3.1-70B-Instruct_sum,Meta-Llama-3.1-70B-Instruct_average,Qwen2-72B-Instruct_sum,Qwen2-72B-Instruct_average,tulu-2-dpo-70b_sum,tulu-2-dpo-70b_average
28,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
29,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
30,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
31,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
32,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
33,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
34,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
35,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
36,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
37,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
38,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
39,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
40,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
41,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
42,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
43,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
44,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
45,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
46,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
47,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
48,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
49,25:23:2,19:30:1,42:7:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
0,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
1,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
2,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
3,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
4,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
5,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
6,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
7,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
8,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
9,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
10,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
11,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
12,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
13,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
14,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
15,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
16,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
17,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
18,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
19,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
20,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
21,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
22,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
23,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
24,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
25,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
26,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
27,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
28,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
29,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
30,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
31,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
32,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
33,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
34,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
35,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
36,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
37,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
38,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
39,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
40,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
41,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
42,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
43,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
44,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
45,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
46,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
47,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
48,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
49,22:24:4,13:34:3,39:10:1,46:3:1,50,16.67,50,16.67,50,16.67,50,16.67
