Index,Meta-Llama-3.1-8B-Instruct,Meta-Llama-3.1-70B-Instruct,Qwen2-72B-Instruct,tulu-2-dpo-70b,Meta-Llama-3.1-8B-Instruct_sum,Meta-Llama-3.1-8B-Instruct_average,Meta-Llama-3.1-70B-Instruct_sum,Meta-Llama-3.1-70B-Instruct_average,Qwen2-72B-Instruct_sum,Qwen2-72B-Instruct_average,tulu-2-dpo-70b_sum,tulu-2-dpo-70b_average
16,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
17,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
18,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
19,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
20,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
21,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
22,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
23,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
24,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
25,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
26,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
27,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
28,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
29,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
30,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
31,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
32,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
33,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
34,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
35,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
36,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
37,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
38,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
39,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
40,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
41,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
42,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
43,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
44,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
45,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
46,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
47,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
48,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
49,16:28:6,14:30:6,35:13:2,43:4:3,50,16.67,50,16.67,50,16.67,50,16.67
0,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
1,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
2,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
3,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
4,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
5,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
6,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
7,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
8,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
9,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
10,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
11,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
12,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
13,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
14,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
15,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
16,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
17,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
18,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
19,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
20,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
21,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
22,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
23,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
24,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
25,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
26,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
27,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
28,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
29,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
30,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
31,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
32,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
33,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
34,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
35,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
36,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
37,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
38,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
39,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
40,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
41,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
42,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
43,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
44,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
45,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
46,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
47,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
48,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
49,22:23:5,15:30:5,38:12:0,45:4:1,50,16.67,50,16.67,50,16.67,50,16.67
